species;speciesKey;lat;lon;HFP09;Elevation;continents;Status;IUCNonly;time_period
Platycoryne megalorrhyncha;2798629;6.420683333333334;10.542641666666666;10.98847738901774;1564.1666666666667;{'AFRICA'};EXT;False;2041/2060
Pleurothallis bucculenta;2787831;-1.391;-78.294;11.7997102737427;2081.0;{'SOUTHERN AMERICA'};EXT;False;2061/2080
Pleurothallis sobrina;2787043;-1.4167;-78.1833;7.72822380065918;1210.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Pleurothallis tentaculata;2787689;-3.005;-78.196;6.66132068634033;1229.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Pleurothallis volans;2786443;-3.55;-78.57;3.73391795158386;775.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Podochilus falcatus;2797775;6.8086;80.5;8.75750732421875;2044.0;{'ASIA-TROPICAL'};EXT;False;2081/2100
Polystachya alpina;2792040;5.454844827586207;10.2525;8.702318471053552;1609.344827586207;{'AFRICA'};EXT;False;2041/2060
Polystachya anthoceros;8639542;6.2436;10.4698;7.25000953674316;1661.0;{'AFRICA'};EXT;False;2041/2060
Polystachya batkoi;2792173;1.673825;10.312075;2.90822857618332;227.5;{'AFRICA'};EXT;False;2041/2060
Polystachya bicalcarata;2792038;5.217322222222222;9.89401111111111;11.177627404530842;1458.7777777777778;{'AFRICA'};EXT;True;2041/2060
Polystachya camaridioides;2792363;4.6;9.4333;7.34012842178345;213.0;{'AFRICA'};EXT;False;2041/2060
Polystachya cooperi;2792357;5.07344;9.58432;8.146727466583256;1384.6;{'AFRICA'};EXT;True;2041/2060
Polystachya elegans;2792033;4.6733875000000005;9.4538375;8.376979619264604;1125.625;{'AFRICA'};EXT;False;2041/2060
Polystachya geniculata;2792272;5.4106499999999995;9.498899999999999;8.62162959575653;554.75;{'AFRICA'};EXT;True;2041/2060
Polystachya kupensis;2792317;4.78;9.72;6.75753259658813;895.0;{'AFRICA'};EXT;True;2041/2060
Polystachya parviflora;2792230;0.2854;6.61205;8.51255941390991;1162.0;{'AFRICA'};EXT;False;2041/2060
Polystachya pyramidalis;2792368;2.031281818181818;9.637372727272727;7.548497763547032;504.72727272727275;{'AFRICA'};EXT;False;2041/2060
Polystachya riomuniensis;2792199;2.5792714285714284;10.600800000000001;5.824470724378314;663.2857142857143;{'AFRICA'};EXT;False;2041/2060
Polystachya setifera;2792246;1.6;7.42;14.2967281341553;82.0;{'AFRICA'};EXT;False;2041/2060
Polystachya superposita;2792072;5.669116666666667;10.0645;8.521836837132772;1893.1666666666667;{'AFRICA'};EXT;True;2041/2060
Polystachya supfiana;2792058;4.055225;9.4438125;5.973106905817986;721.875;{'AFRICA'};EXT;False;2041/2060
Polystachya testuana;2792370;0.4639;10.2786;1.2502464056015;124.0;{'AFRICA'};EXT;True;2041/2060
Ponthieva collantesii;2784513;-9.42;-74.73;2.0;1724.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Ponthieva ovatilabia;2784523;5.9167;-62.2167;1.0319652557373;555.0;{'SOUTHERN AMERICA'};EXT;False;2061/2080
Ponthieva weberbaueri;2784512;-9.5;-75.8333;4.25069570541382;2219.0;{'SOUTHERN AMERICA'};EXT;False;2061/2080
Pseudolaelia cipoensis;2816754;-18.9422;-43.7498;2.31868362426758;1322.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Restrepia echo;2817330;6.3307;-77.3546;3.31109046936035;99.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Rhipidoglossum brevifolium;2838107;0.27349999999999997;6.58185;7.277166843414305;1387.0;{'AFRICA'};EXT;False;2041/2060
Rhipidoglossum curvatum;2838162;2.1857333333333333;10.984266666666665;4.17877928415934;291.0;{'AFRICA'};EXT;False;2041/2060
Rhipidoglossum obanense;2838104;3.6825;10.12585;10.5;301.0;{'AFRICA'};EXT;False;2041/2060
Rhipidoglossum ochyrae;2838200;5.69835;9.41665;5.803865432739255;226.5;{'AFRICA'};EXT;False;2041/2060
Rhipidoglossum polyanthum;2838117;5.520849999999999;9.85415;7.18148517608643;1663.0;{'AFRICA'};EXT;False;2041/2060
Rhipidoglossum polydactylum;2838208;4.9675;9.7325;9.378759980201721;1478.75;{'AFRICA'};EXT;True;2041/2060
Scaphosepalum bicristatum;2849195;7.9458;-73.0174;13.0;2464.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Selenipedium steyermarkii;2817792;5.9167;-62.2167;1.0319652557373;555.0;{'SOUTHERN AMERICA'};EXT;True;2081/2100
Sobralia herzogii;2797487;-16.7261;-64.435;3.0;211.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Stelis diffusa;5309452;-9.5;-75.8333;4.25069570541382;2219.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Stelis lindleyana;5310035;-9.1639;-74.3756;1.21962940692902;165.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Stelis platystachya;5309572;-4.25;-79.33;11.2586574554443;2311.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Stelis serra;5309694;-0.5833;-77.65;4.25000953674316;2135.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Stephanothelys siberiana;2787987;-17.9;-64.5;3.52698397636414;2286.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Teagueia barbeliana;7574477;-1.4794;-78.2975;2.26259803771973;3588.0;{'SOUTHERN AMERICA'};EXT;False;2061/2080
Telipogon urceolatus;2790880;-9.73;-76.08;4.25125217437744;2948.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Tridactyle aurantiopunctata;2802335;1.6013333333333335;7.40005;10.802018801371247;277.0;{'AFRICA'};EXT;False;2041/2060
Tridactyle lisowskii;2802338;3.11685;10.87795;9.66068935394287;627.0;{'AFRICA'};EXT;False;2041/2060
Tridactyle muriculata;2802387;5.434;8.3812;5.25119018554688;136.0;{'AFRICA'};EXT;False;2041/2060
Tridactyle nalaensis;2802342;2.86835;27.63165;9.0;732.5;{'AFRICA'};EXT;False;2041/2060
Tridactyle pentalobata;2802337;0.4788;10.2705;1.25413405895233;190.0;{'AFRICA'};EXT;False;2041/2060
Tridactyle stipulata;2802299;-0.065825;18.393349999999998;10.365314006805416;319.0;{'AFRICA'};EXT;False;2041/2060
